,ClaimNumber,PolicyNumber,loss_date,insured_name
105,2018A0228318,29U0331017,7/9/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
106,2018A0247518,12S0230519,8/13/2018,STATE LUMBER COMPANY INC.
107,2018A0259118,31D1250918,8/21/2018,"D & M LUMBER PRODUCTS CO., INC.,  PACKIN"
108,2018A0276218,29L0820519,9/6/2018,"LATTANZIO LUMBER CO., INC."
109,2018A0276218,29L0820519,9/6/2018,"LATTANZIO LUMBER CO., INC."
110,2018A0287118,29U0331017,9/4/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
111,2018A0293218,24G0070218,9/14/2018,MILLMAN LUMBER COMPANY GREAT CENTRAL LUM
112,2018A0301618,49B0010518,9/28/2018,"BLOEDORN LUMBER COMPANY, INC. BLOEDORN L"
113,2018A0310918,20N0350218,10/9/2018,NINE POINTS WOODWORKING INC.
114,2018A0310918,20N0350218,10/9/2018,NINE POINTS WOODWORKING INC.
115,2018A0310918,20N0350218,10/9/2018,NINE POINTS WOODWORKING INC.
116,2018A0314918,31R3150218,10/11/2018,ROSE FENCE INC. JS ROSE ENTERPRISES INC.
117,2018A0363318,29J0440218,10/16/2018,"JAEGER LUMBER & SUPPLY CO., INC. JAEGER,"
118,2018G0003318,29M2020118,1/9/2018,"MORRISTOWN LUMBER & SUPPLY CO., LLC, ROB"
119,2018G0003517,06S0090417,12/6/2017,"STATELY STAIR CO., INC.  NITON ENTERPRIS"
120,2018G0005116,32B4600117,8/24/2016,"B & C TIMBERS, LLC"
121,2018G0005116,32B4600117,8/24/2016,"B & C TIMBERS, LLC"
122,2018G0005116,32B4600117,8/24/2016,"B & C TIMBERS, LLC"
123,2018G0008717,01M0520116,8/1/2017,"MOBILE LUMBER & BUILDING MATERIALS, INC."
124,2018G0016316,29U0330115,3/18/2016,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
125,2018G0021017,37M3330217,11/25/2017,MANNING MANAGEMENT CORP. MANNING COMPANY
126,2018G0021017,37M3330217,11/25/2017,MANNING MANAGEMENT CORP. MANNING COMPANY
127,2018G0025518,35C0100518,3/27/2018,CEDAR CREEK HOLDINGS INC CEDAR CREEK LLC
128,2018G0025518,35C0100518,3/27/2018,CEDAR CREEK HOLDINGS INC CEDAR CREEK LLC
129,2018G0025716,29U0330115,9/26/2016,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
130,2018G0033518,37D1900117,3/24/2018,"DURAWOOD PRODUCTS, INC. CMB HOLDINGS LLC"
131,2018G0034216,46C0120116,5/5/2016,CHINOOK LUMBER
132,2018G0041118,12C0250119,5/9/2018,CREATIVE WOOD CONCEPTS INC. 1680 N ADA L
133,2018G0048610,46Q0010110,10/22/2010,"QUANTUM WINDOWS & DOORS, INC."
134,2018G0062616,04F0020117,5/21/2016,FOOTHILL HOME IMPROVEMENT CENTER
135,2018G0062718,29B1501218,6/29/2018,"BLUE RIDGE LUMBER CORP. GRATER, LLC  ACK"
136,2018G0065618,04H0120117,7/20/2018,"HANSON TRUSS COMPONENTS, INC."
137,2018G0065618,04H0120117,7/20/2018,"HANSON TRUSS COMPONENTS, INC."
138,2018G0066418,31J1740119,6/8/2018,"J & S SUPPLY CORP.; DG PROPERTIES, LLLC"
139,2018G0070818,05K0020517,7/6/2018,"KODIAK BUILDING PARTNERS, INC. KODIAK BU"
140,2018G0073918,04E0070117,8/17/2018,ERNEST PIERSON COMPANY INC SEDGEFIELD PR
141,2018G0075912,31S5080113,11/26/2012,"STEP ABOVE STAIRBUILDERS, LLC"
142,2018G0077818,29U0330117,8/29/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
143,2018G0079807,39S2090207,11/1/2007,"STIER SUPPLY CO., INC. BLANDING JHT LLC"
144,2018G0080417,05K0020517,12/1/2017,"KODIAK BUILDING PARTNERS, INC. KODIAK BU"
145,2018G0080517,05K0020517,12/1/2017,"KODIAK BUILDING PARTNERS, INC. KODIAK BU"
146,2018G0081813,03P0100413,12/1/2013,"THE PRICE COMPANIES, INC."
147,2018G0081813,03P0100413,12/1/2013,"THE PRICE COMPANIES, INC."
148,2018G0082016,31M4590116,10/31/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
149,2018G0085918,29U0330117,8/12/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
150,2018G0086815,31M5350115,4/11/2015,"MODERN WOOD, LLC; MODERN WOOD OF NY, INC"
151,2018G0086815,31M5350115,4/11/2015,"MODERN WOOD, LLC; MODERN WOOD OF NY, INC"
152,2018G0088818,29U0330117,6/3/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
153,2018G0088818,29U0330117,6/3/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
154,2018G0088818,29U0330117,6/3/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
155,2018G0088818,29U0330117,6/3/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
156,2018G0091218,31C6140118,7/21/2018,CLEARWOOD CUSTOM CARPENTRY & MILLWORK LL
157,2018G0092518,29M1910119,8/9/2018,"MIDHATTAN WOODWORKING CORP., YONKERS PLY"
158,2018G0093118,31H2600118,10/25/2018,"R. C. HENDERSON STAIR BUILDER, INC."
159,2018G0110318,29K0270918,12/1/2018,"KASLANDER LUMBER COMPANY, INC. ETAL ROBE"
160,2018P0040118,16R0210117,7/27/2018,ROCKY TOP FURNITURE LLC ROCKY TOP LOG FU
161,2018P0040118,16R0210117,7/27/2018,ROCKY TOP FURNITURE LLC ROCKY TOP LOG FU
162,2018P0063118,34S0190119,11/8/2018,"ADROIT THINKING, INC."
163,2018U0009216,31L3140116,4/12/2016,LITTLE WOLF CABINET SHOP  M & W FRITSCH
164,2018U0009216,31L3140116,4/12/2016,LITTLE WOLF CABINET SHOP  M & W FRITSCH
165,2019A0001219,32H2170919,1/2/2019,"HOME BUILDERS SUPPLY COMPANY, INC."
166,2019A0001219,32H2170919,1/2/2019,"HOME BUILDERS SUPPLY COMPANY, INC."
167,2019A0005918,46T0090217,11/23/2018,THE CLOSET FACTORY
168,2019A0025418,31G3070218,11/29/2018,"THE PRINCE LUMBER CO., INC.  178 MILLER"
169,2019A0030419,05K0020918,1/31/2019,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
170,2019A0030419,05K0020918,1/31/2019,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
171,2019A0031219,09M1400618,1/31/2019,"MANNING BUILDING SUPPLIES, INC. CM PROPE"
172,2019A0031219,09M1400618,1/31/2019,"MANNING BUILDING SUPPLIES, INC. CM PROPE"
173,2019A0031219,09M1400618,1/31/2019,"MANNING BUILDING SUPPLIES, INC. CM PROPE"
174,2019A0046419,31N1580720,1/29/2019,NEW ERA LUMBER CO. 123-24 ROCKAWAY BLVD
175,2019A0056019,40N0030218,2/28/2019,"MEAD HOLDING COMPANY, INC. MEAD LUMBER C"
176,2019A0062319,29U0331018,2/28/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
177,2019A0065719,31M4590418,3/7/2019,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
178,2019A0066919,31M5840518,2/6/2019,METRO INTERIOR DISTRIBUTORS CORP.; LIBER
179,2019A0066919,31M5840518,2/6/2019,METRO INTERIOR DISTRIBUTORS CORP.; LIBER
180,2019A0068419,31F3380318,3/4/2019,"PRIME LUMBER & HOME CENTER, INC. THIRD A"
181,2019A0068419,31F3380318,3/4/2019,"PRIME LUMBER & HOME CENTER, INC. THIRD A"
182,2019A0074919,46C0120218,3/19/2019,CHINOOK LUMBER
183,2019A0077419,05K0020918,3/21/2019,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
184,2019A0080019,29U0331018,3/26/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
185,2019A0082017,31F3330516,10/24/2017,FLORENCE CORPORATION AMAGANSETT BUILDING
186,2019A0084319,29U0331018,3/28/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
187,2019A0117319,29W1460919,4/29/2019,"WOODHAVEN LUMBER & MILLWORK, INC.  RAND"
188,2019A0121319,31R2120618,4/23/2019,RIVERHEAD BUILDING SUPPLY CORP. RIVERHEA
189,2019A0132019,04A0220219,5/11/2019,ACE BUILDING MATERIALS INC.
190,2019A0132019,04A0220219,5/11/2019,ACE BUILDING MATERIALS INC.
191,2019A0132019,04A0220219,5/11/2019,ACE BUILDING MATERIALS INC.
192,2019A0132019,04A0220219,5/11/2019,ACE BUILDING MATERIALS INC.
193,2019A0154119,09H0480218,2/14/2019,"W.B. HOWLAND COMPANY, LLC"
194,2019A0155019,01C0700219,5/23/2019,"CONSTRUCTION MATERIALS, INC."
195,2019A0155019,01C0700219,5/23/2019,"CONSTRUCTION MATERIALS, INC."
196,2019A0159919,29H1260518,6/6/2019,"HENNING BUILDING SUPPLY CO., INC."
197,2019A0170619,17L0130218,6/17/2019,LOCKPORT FARM MARKET & BUILDING SUPPLIES
198,2019A0181919,13H0250118,7/2/2019,HURRYIN HOOSIER TRANSPORT INC
199,2019A0184919,37D1440318,7/9/2019,"THE DEGOL ORGANIZATION, INC. THE DEGOL O"
200,2019A0210419,31N2150619,7/3/2019,"S&K DISTRIBUTION, LLC NEW CASTLE BUILDIN"
201,2019A0217219,29U0331018,7/28/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
202,2019A0217219,29U0331018,7/28/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
203,2019A0224418,21T0210517,9/28/2018,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
204,2019A0232619,37N1230219,8/15/2019,"NATIONAL FOREST PRODUCTS, CORP."
205,2019A0232619,37N1230219,8/15/2019,"NATIONAL FOREST PRODUCTS, CORP."
206,2019A0232619,37N1230219,8/15/2019,"NATIONAL FOREST PRODUCTS, CORP."
207,2019A0256919,16G0181118,9/15/2019,"GREENTREE FOREST PRODUCTS, INC.;  VALLEY"
208,2019A0256919,16G0181118,9/15/2019,"GREENTREE FOREST PRODUCTS, INC.;  VALLEY"
209,2019A0256919,16G0181118,9/15/2019,"GREENTREE FOREST PRODUCTS, INC.;  VALLEY"
210,2019A0263819,29U0331018,9/20/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
211,2019A0263819,29U0331018,9/20/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
212,2019A0295419,29U0331018,10/16/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
213,2019A0296419,31L2560219,10/11/2019,"LIBERTY PANEL & HOME CENTER, INC.  & LIB"
214,2019A0309919,29U0331018,10/16/2019,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
215,2019A0313319,31C5380619,11/8/2019,"CHAUTAUQUA BRICK COMPANY, INC."
216,2019A0313319,31C5380619,11/8/2019,"CHAUTAUQUA BRICK COMPANY, INC."
217,2019A0313319,31C5380619,11/8/2019,"CHAUTAUQUA BRICK COMPANY, INC."
218,2019A0313319,31C5380619,11/8/2019,"CHAUTAUQUA BRICK COMPANY, INC."
219,2019A0336619,17C0340219,12/6/2019,CONCORDIA WOOD PRODUCTS LLC MOULDING & M
220,2019A0343219,31G3340219,12/9/2019,GC WAREHOUSE LLC
221,2019A0343219,31G3340219,12/9/2019,GC WAREHOUSE LLC
222,2019A0343619,42H0140519,12/14/2019,HARRY'S BUILDING MATERIALS INC
223,2019A0344919,17D0140218,11/1/2019,"DUFRENE BUILDING MATERIALS, INC."
224,2019A0349819,20R0130719,12/18/2019,"REX LUMBER COMPANY, INC"
225,2019A0349819,20R0130719,12/18/2019,"REX LUMBER COMPANY, INC"
226,2019A0349819,20R0130719,12/18/2019,"REX LUMBER COMPANY, INC"
227,2019A0349819,20R0130719,12/18/2019,"REX LUMBER COMPANY, INC"
228,2019G0001919,10S1370118,1/8/2019,STONES INC.
229,2019G0007818,06F0050117,10/24/2018,"FORESTVILLE LUMBER CO., INC."
230,2019G0008518,29U0330118,11/9/2018,"US LBM HOLDINGS, LLC ALCO DOORS, LLC AME"
231,2019G0009218,46G0050119,11/11/2018,GASCOIGNE LUMBER COMPANY
232,2019G0012417,31E2610117,4/29/2017,EURO HOME REMODELERS LLC
233,2019G0012417,31E2610117,4/29/2017,EURO HOME REMODELERS LLC
234,2019G0012518,20Y0010118,12/6/2018,YANKEE PINE CORP. ROBERT KING TRI-K REAL
235,2019G0013917,31A5760118,12/11/2017,DF EASTWOOD CONSTRUCTION CORP.
236,2019G0016217,39S2250118,7/7/2017,G2 CORP.  BETTER BOARD ROYAL WOOD LLC
237,2019G0016518,05K0020517,4/1/2018,"KODIAK BUILDING PARTNERS, INC. KODIAK BU"
238,2019G0017516,43N0010115,5/1/2016,"NATIONAL WOOD PRODUCTS, INC."
239,2019G0021119,06R0050718,3/9/2019,"RING'S END, INC. 176 WEST AVENUE LLC"
240,2019G0021817,05K0020117,9/1/2017,"KODIAK BP, LLC KODIAK BUILDING PARTNERS"
241,2019G0022118,32T2400418,10/19/2018,"TRUSWOOD, INC. , TRUSWOOD LEASING, LLC ,"
242,2019G0022218,31S3650918,3/23/2018,"S & E BUILDING MATERIALS CO., INC.  HUDS"
243,2019G0022919,41L0330720,3/3/2019,"LAW & HICKS MILLWORK, INC"
244,2019G0027719,42M0100718,3/30/2019,"MATT'S CASH & CARRY BUILDING MATERIALS,"
245,2019G0037008,29F0690908,7/1/2008,"FORTUNE GYPSUM PRODUCTS, INC."
246,2019G0043319,31I0970118,5/9/2019,"INNOVA INTERIORS, INC."
247,2019G0049719,03B0670119,6/3/2019,E. C. BARTON & COMPANY DBA SURPLUS WAREH
248,2019G0049719,03B0670119,6/3/2019,E. C. BARTON & COMPANY DBA SURPLUS WAREH
249,2019G0049719,03B0670119,6/3/2019,E. C. BARTON & COMPANY DBA SURPLUS WAREH
250,2019G0049719,03B0670119,6/3/2019,E. C. BARTON & COMPANY DBA SURPLUS WAREH
251,2019G0057119,26C0030418,5/1/2019,"CHRISTENSEN LUMBER, INC. LEVEL ONE SERVI"
252,2019G0057119,26C0030418,5/1/2019,"CHRISTENSEN LUMBER, INC. LEVEL ONE SERVI"
253,2019G0058419,31C6780119,6/3/2019,CITI GENERAL HARDWARE INC. CITI PAINT &
254,2019G0059718,31G3000519,11/29/2018,GNH LUMBER INC.
255,2019G0063204,24A0060104,9/1/2004,AMERICAN WALNUT COMPANY LLC
256,2019G0064517,24L0100116,3/1/2017,LANCASTER LUMBER COMPANY
257,2019G0068819,04M0120119,6/26/2019,"MILLER WOODWORKING, INC"
258,2019G0076118,17K0030119,10/10/2018,"KENT ENTERPRISES, LLC"
259,2019G0081217,31M6000118,6/22/2017,MJ WOODWORKING INC.
260,2019G0083618,31C5000119,12/3/2018,"CENTRAL FURNITURE FACTORY, INC. SVETLANA"
261,2019G0084016,45S2280115,7/25/2016,"SOUTHERN FOREST PRODUCTS, LLC"
262,2019G0085118,31Q0740119,12/28/2018,QUALITY KITCHENS INC.
263,2019G0085118,31Q0740119,12/28/2018,QUALITY KITCHENS INC.
264,2019G0085118,31Q0740119,12/28/2018,QUALITY KITCHENS INC.
265,2019G0087718,31C5980118,12/17/2018,"CABINETRY BY DESIGN, INC.; BROOK AVENUE,"
266,2019G0088519,09G0630719,9/17/2019,"GULFSIDE SUPPLY, INC. DBA GULFEAGLE SUPP"
267,2019G0088519,09G0630719,9/17/2019,"GULFSIDE SUPPLY, INC. DBA GULFEAGLE SUPP"
268,2019G0088519,09G0630719,9/17/2019,"GULFSIDE SUPPLY, INC. DBA GULFEAGLE SUPP"
269,2019G0089019,31Q0730119,9/13/2019,QUEENSBORO HARDWOOD CORP.
270,2019G0093019,42W0240119,10/2/2019,"1959 W NORTHWEST HIGHWAY LLC AMH, DOING"
271,2019G0093219,42M0060918,10/3/2019,"MCCAULEY LUMBER COMPANY, INC."
272,2019G0093219,42M0060918,10/3/2019,"MCCAULEY LUMBER COMPANY, INC."
273,2019G0093719,41H0480419,9/11/2019,"HUSKEY TRUSS & BUILDING SUPPLY, INC."
274,2019G0093719,41H0480419,9/11/2019,"HUSKEY TRUSS & BUILDING SUPPLY, INC."
275,2019G0093719,41H0480419,9/11/2019,"HUSKEY TRUSS & BUILDING SUPPLY, INC."
276,2019G0097518,31F2270119,4/18/2018,FARO BUILDING CORP.
277,2019G0098316,24A0170116,6/23/2016,ARCHITECTURAL SYSTEMS INC.
278,2019G0101718,31E2620117,8/23/2018,EMPIRE GYPSUM PRODUCTS & SUPPLY CORP BEA
279,2019G0101718,31E2620117,8/23/2018,EMPIRE GYPSUM PRODUCTS & SUPPLY CORP BEA
280,2019G0101718,31E2620117,8/23/2018,EMPIRE GYPSUM PRODUCTS & SUPPLY CORP BEA
281,2019G0107218,05K0020518,9/1/2018,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
282,2019G0107218,05K0020518,9/1/2018,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
283,2019G0107218,05K0020518,9/1/2018,"KODIAK BUILDING PARTNERS, INC. KODIAK GU"
284,2019G0113417,46C0120116,5/26/2017,CHINOOK LUMBER
285,2019G0114719,45T0710419,11/20/2019,TIDEWATER WOOD PRODUCTS LLC
286,2019P0025519,35D0040719,5/26/2019,"DAY ENTERPRISES, INC.  DAYS DISCOUNT LUM"
287,2019P0025519,35D0040719,5/26/2019,"DAY ENTERPRISES, INC.  DAYS DISCOUNT LUM"
288,2019P0025717,15K0050117,3/6/2017,KANSAS BUILDING SUPPLY CO INC. KANSAS CI
289,2020A0001319,37N1230219,8/15/2019,"NATIONAL FOREST PRODUCTS, CORP."
290,2020A0003418,29U0331017,6/21/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
291,2020A0009520,15H0150419,1/12/2020,"HENK, INC."
292,2020A0028120,43N0010219,2/2/2020,"NATIONAL WOOD PRODUCTS, INC."
293,2020A0028120,43N0010219,2/2/2020,"NATIONAL WOOD PRODUCTS, INC."
294,2020A0028120,43N0010219,2/2/2020,"NATIONAL WOOD PRODUCTS, INC."
295,2020A0028120,43N0010219,2/2/2020,"NATIONAL WOOD PRODUCTS, INC."
